SrcIP,SrcPort,DstIP,DstPort,Proto,Feature0,Feature1,Feature2,Feature3,Feature4,Label
192.168.50.6,54802,172.217.10.65,443,6,0.473242,1.055039,1.345501,0.565538,0.019490,1
172.217.197.154,443,192.168.50.9,60096,6,-0.167351,1.055039,1.338602,-0.340714,-0.027512,1
192.168.50.3,0,192.168.50.4,0,1,0.477662,1.249837,1.440082,0.327976,0.133639,1
192.168.50.6,54800,172.217.7.2,443,6,0.475178,1.055039,1.345501,0.569965,0.019490,1
192.168.50.9,60096,172.217.197.154,443,6,0.168363,1.071437,1.371992,0.112198,0.059778,1
93.184.216.180,443,192.168.50.9,41488,6,-0.057681,1.055039,1.346129,-0.190529,0.019490,1
172.16.0.5,52312,192.168.50.4,51989,6,0.222034,1.035683,1.309837,0.244465,-0.081230,1
192.168.50.6,54804,172.217.12.206,443,6,0.473232,1.055039,1.345501,0.565517,0.019490,1
192.168.50.9,48208,52.28.108.167,443,6,0.197427,1.071437,1.371992,0.153021,0.059778,1
52.28.108.167,443,192.168.50.9,48200,6,-0.222186,1.035683,1.317364,-0.381344,-0.047656,1
192.168.50.6,54803,172.217.7.2,443,6,0.473241,1.055039,1.345501,0.565538,0.019490,1
35.158.163.158,443,192.168.50.9,57658,6,-0.177506,1.035683,1.317364,-0.329106,-0.047656,1
172.217.9.238,80,192.168.50.6,54805,6,-0.234371,1.004768,1.268058,-0.334910,-0.134947,1
192.168.50.6,54560,54.213.45.184,443,6,-0.266866,1.004768,1.268058,-0.381344,-0.134947,1
54.192.55.39,443,192.168.50.9,37652,6,-0.073802,1.035683,1.317364,-0.179646,-0.047656,1
34.209.30.112,443,192.168.50.8,59555,6,0.213609,1.071437,1.363995,0.172814,0.022847,1
192.168.50.9,41488,93.184.216.180,443,6,0.139151,1.090793,1.387673,0.037446,0.032919,1
192.168.50.9,48200,52.28.108.167,443,6,0.197058,1.071437,1.371992,0.152420,0.059778,1
192.168.50.9,37312,23.194.108.29,443,6,0.128945,1.081115,1.380460,0.037582,0.046349,1
172.16.0.5,52312,192.168.50.4,45389,6,0.218566,1.035683,1.309837,0.237857,-0.081230,1
192.168.50.8,59593,192.168.10.50,21,6,0.409880,1.055039,1.337347,0.476392,-0.034227,1
52.28.108.167,443,192.168.50.9,48208,6,-0.197815,1.035683,1.317364,-0.346518,-0.047656,1
23.194.108.29,443,192.168.50.9,37312,6,-0.021061,1.055039,1.348324,-0.139742,0.026205,1
192.168.50.6,54801,172.217.10.98,443,6,0.475178,1.055039,1.345501,0.569965,0.019490,1
192.168.50.9,37652,54.192.55.39,443,6,0.154065,1.071437,1.371992,0.088845,0.059778,1
192.168.50.9,57658,35.158.163.158,443,6,0.200779,1.071437,1.371992,0.158496,0.059778,1
192.168.50.6,54799,172.217.10.98,443,6,0.475179,1.055039,1.345501,0.569967,0.019490,1
192.168.50.6,54805,172.217.9.238,80,6,0.155859,1.035683,1.309837,0.149342,-0.081230,1
0.0.0.0,68,255.255.255.255,67,17,0.463317,1.131385,1.486052,0.449695,0.510499,1
